SCARNA21,ZBTB46
KRTAP10-6,DUX4
SCARNA8,ADCY2
ANKRD2,TRIM42
SNORA38B,PRDM16
OR2L2,USP17L2
SCARNA4,MLPH
MYBPH,FGD5
DIRAS2,USP17L6P
SCARNA9,APBA1
FTMT,FER1L6
OR51B6,XIRP2
SCARNA22,ADRA2B
SCARNA10,ERG
IFNW1,GDPD4
C11orf53,FBXO16
SCARNA17,PRICKLE2
TMEM221,KCNK9
C2orf50,SPON1
ERAP1,CUX2
SPATA16,SNPH
CHRDL1,OR1N1
DISP2,ZNF135
SSTR3,DAAM2
XCR1,AP3B2
SNORA51,TOX
TNFRSF11A,ZHX2
OR2T4,FIBCD1
KCNE1,ADAMTSL1
SNORA79,GUCY1A2
CD163L1,SAMD4A
KCNA4,LIPE
SLC45A1,DPP6
RESP18,PDE6C
NRL,ARHGAP15
EMB,HTR5A
CDC42EP5,CAMK2A
SCARNA5,PSTPIP1
FAM181B,GRIA1
CGA,DUSP10
ANKRD36BP1,OR1E2
SCARNA16,GRID2
RGS11,XYLT1
SYNPO,RASGRP1
SPINK8,RASSF5
TERC,ABCC3
ABHD1,PDZD9
FLJ36000,TMEM63C
PPP1R3A,CDK15
ZBED3,GNAT2
HCN4,TECTA
HSPA12B,TMEM169
SNORA44,MYO16
ZNF521,UPB1
TMEM100,RCAN2
SOHLH1,SLC6A11
MAB21L2,TMC3
SNORA12,FAM135B
PLA2G7,USP20
RMRP,GRIN2B
NEURL1B,KCND2
KBTBD11,IL1RAPL1
GPR119,IL16
FOXQ1,ZNF222
RAX2,EPHB1
PATE2,LYPD4
FAM81B,GLS2
ANKRD22,NCKAP5L
KNCN,DISP1
ZNF835,PLXNC1
C1orf146,ROBO3
ELFN2,CREB5
ARPP21,GPR39
ILDR2,NRAP
NOTCH4,GRIK2
JPH2,PPL
ARHGAP27,ADD2
ADAMTS15,OLIG1
CDK5R2,CPXM2
COL15A1,ADAM11
ENHO,ADAMTS14
TMEM88,RND1
MAP3K10,GNA14
LCP2,RAB38
MEX3D,AGPAT4
TMC4,ALOXE3
CCDC160,MOS
LRFN1,HRG
PNPLA2,BARX2
PTP4A3,RNF150
LIPM,RIMBP2
NGB,RPH3A
MAT1A,NTRK2
NACC2,CSGALNACT1
RNF148,RASGRF2
NBL1,TGM7
B3GNT3,AFF3
SNORA23,NXPH1
MLLT11,LRP1B
,PHACTR3
